model,slice,n,acc,prec,rec,f1
BERT (bert-base-uncased),Full test set,25000,0.94184,0.9393095768374164,0.94472,0.9420070197830249
BERT (bert-base-uncased),Long reviews (>=500 words) [n=1964],1964,0.9032586558044806,0.9092645654250239,0.9092645654250239,0.9092645654250239
BERT (bert-base-uncased),Negation-heavy (>=2 cues) [n=13942],13942,0.9386027829579687,0.9277622722048925,0.931432338882479,0.9295936831715743
BERT (bert-base-uncased),Mixed sentiment (pos&neg>=2) [n=4737],4737,0.9408908591935824,0.8721804511278195,0.8915456874466268,0.8817567567567568
