model,slice,n,acc,prec,rec,f1
CNN (GloVe + Kim2014),Full test set,25000,0.854,0.8650990099009901,0.8388,0.8517465475223396
CNN (GloVe + Kim2014),Long reviews (>=500 words) [n=1964],1964,0.8156822810590632,0.868675995694295,0.7707736389684814,0.8168016194331984
CNN (GloVe + Kim2014),Negation-heavy (>=2 cues) [n=13942],13942,0.8495911633911921,0.8378148400272294,0.8114389319268172,0.8244159758854559
CNN (GloVe + Kim2014),Mixed sentiment (pos&neg>=2) [n=4737],4737,0.8606713109563014,0.7263064658990257,0.7002561912894961,0.7130434782608696
BERT (bert-base-uncased),Full test set,25000,0.94184,0.9393095768374164,0.94472,0.9420070197830249
BERT (bert-base-uncased),Long reviews (>=500 words) [n=1964],1964,0.9032586558044806,0.9092645654250239,0.9092645654250239,0.9092645654250239
BERT (bert-base-uncased),Negation-heavy (>=2 cues) [n=13942],13942,0.9386027829579687,0.9277622722048925,0.931432338882479,0.9295936831715743
BERT (bert-base-uncased),Mixed sentiment (pos&neg>=2) [n=4737],4737,0.9408908591935824,0.8721804511278195,0.8915456874466268,0.8817567567567568
